# Etapes de la célébration :
# ---------------------------
# 01:   EN: Entrée / ouverture
# 02:	K:  Kyrie / chant de pénitence / rite ou litanie ou prière pénitentiel / "prends pitié de nous" / "pardon"
# 03:	GL: Gloire A Dieu, au Père / louange / Gloria
# 04:	PS: Psaume responsorial / psalmodié	Liturgie de la Parole
# 05:	AL: Alléluia / acclamation de l'Evangile
# 06:	HO: Chant après l'homélie, après la Parole / litanie / cantique / interlude / répons / hymne
# 07:	CR: Credo / profession de foi / "je crois"
# 08:	PU: Prière universelle / "court"
# 09:	OF: Offertoire / offrandes / préparation des dons / méditation / "esprit" / "cri" / "amour" / ostinato / ce qu'on donne à Dieu
# 10:	S:  Sanctus / Hosanna / louange eucharistique / "Saint le Seigneur"	Liturgie de l'Eucharistie / Paroles de la consécration
# 11:	AN: Acclamations de la prière eucharistique / épiclèses	/ Anamnèse
# 12:	DOX:    Doxologie / "Par Lui, avec Lui et en Lui"
# 13:	NP: Notre Père / oraison dominicale
# 14:	AG: Agneau de Dieu / Agnus Dei / fraction du pain / "paix"
# 15:	COM:    Communion / "pain" / eucharistie
# 16:	AC: Action de grâce / bénédiction / "Louez Dieu" / Laudate Dominum / adoration eucharistique
# 17:   M: Chant à Marie
# 18:	FIN:    Envoi / final
# ========================================
# Temps de l'année liturgique :
# ------------------------------
# 01:	CAR:    Mercredi des cendres / jeudi, vendredi saint / Carême	40 jours avant Pâques
# 02:	P:  Pâques	entre le 22 mars et le 25 avril
# 03:	A:  Ascencion	40 jours après Pâques
# 04:	PEN:    Pentecôte / Esprit Saint	50 jours après Pâques
# 05:	M:  Marie / Assomption	15 août ou 01 janvier
PEN;Esprit de Pentecôte, souffle de Dieu
COM;Dieu a mis son corps entre nos mains
AV;Es-tu celui qui doit venir - Réponse de Dieu
PRO;Etoile des neiges 
OF;Ô Dieu, je te cherche
AL;Exultez de joie
FIN/GL/PS/EN/N/EP;Exultez de joie, peuples de l'univers
FIN;Fais du neuf
AV/P/CAR/GL;Fais paraître ton jour
EN;Frères dans un même Amour
OF/PEN;Ce que Dieu a choisi
COM/P;C'est Toi, Seigneur, le pain rompu
GL;Gloire à Dieu
ME;Messe de Châteaubriant
NP;Notre Père du Burkina Faso
GL;Gloire à Dieu notre créateur
OF/COM;La sagesse a dressé une table
GL;Gloire à Dieu, au plus haut des cieux… pour tes merveilles…
ME/TO;Missa Pro Europa
EN/ FIN;Gloire à notre Dieu, gloire à son Saint Nom
GL;Gloire A Toi
GL;Gloire à toi qui étais mort
AN;Gloire à Toi qui étais mort
PS/FIN;Gloire à Toi,; source de toute joie
PEN;Gloire à toi, Esprit de feu
GL/EN/FIN;Gloire à Toi, ô Dieu, notre Père
P/EN;Gloire à Toi, sauveur des hommes
GL;Gloria
GL;Gloria de Lourdes
GL;Gloria et in terra pax
GL;Gloria III
GL/N;Gloria Noël
GL;Gloria, gloria
AN;Vive Dieu
OF;Grain de blé qui tombe en terre
AL;Alléluia Slava Tiebie Boze
AL;Hallelujah
EN;Heureux ceux que tu combles
PS;Heureux l'Homme qui met sa foi dans le Seigneur
HO/PU;Heureux, Bienheureux qui écoute la Parole de Dieu
K;Homme au milieu des hommes
S;Hosanna
OF;Humblement, dans le silence
FIN;I have decided to follow Jesus, J'ai décidé de suivre Jésus
OF/PS;Garde-moi mon Seigneur
FIN/P/BAP/GL;Il a changé nos vies
EN;Il a pour nom Miséricorde
EN;Il dansera pour toi
PRO;Il est libre Max
N/FIN;Il est né le divin enfant
EN;Habiter le seuil de ta maison
P/A/AL;Il est vraiment ressuscité
FIN;Il fait danser les mondes
PRO;Il n’y a pas d’amour heureux
EN/AC/P;Il nous précède en Galilée
FIN;Il s'est manifesté
AV;Il vient, le Rédempteur
OF;In manus tuas, Pater
P;In resurrectione tua
EN/AC/HO/ CAR;Ecoute la voix du Seigneur
OF/PS;Comme une biche
EN;Ô Dieu Seigneur des puissances
N;Je bénirai le Seigneur en tout temps
COM;Je cherche le visage
CR;Je crois Seigneur
FIN;Je loue ton nom Eternel
FIN/HO;Je mets ma main dans ta main
OF;Je n'ai d'autre désir
PRO;Je reviens chez nous
PEN;Je sais que tu es là
PS/P;Alléluia Ressurexit
BAP;Bien avant que mes yeux
COM;Je suis ton Dieu, ton créateur
OF;Je t'aime Seigneur ma force
PS;Je te chante Seigneur
OF;Je te cherche, Dieu
M;Je te prends chez moi, Marie
GL;Je t'exalte Ô Roi mon Dieu
FIN;Je veux chanter ma joie !
EN/GL/AC/FIN/BAP/FET;Je veux chanter mes hymnes pour mon Dieu le louer
EN/FIN;Je veux chanter ton Amour, Seigneur
EN;Seigneur je viens vers toi
PEN;Je veux te louer, ô Paraclet
GL;Je veux voir Dieu
GL;Je viens vers Toi les mains ouvertes
EN/OF/COM;Je viens vers Toi, Jésus
FIN;Je voudrais marcher
COM;Tu nous as fait pour toi, Seigneur
OF;Je vous donne
M;Je vous salue Marie
M;Je vous salue Marie comblée de grâce
PS;Pourquoi dors-tu ?
GL;Jesu Redemptor
PEN;Douce est la lumière
AC;Jésus
P;Jésus Christ est Seigneur
CAR/AV/EN/FIN/BAP/FET;Jésus est le chemin
OF/K;Jésus le Christ
CAR/P;Jésus me voici devant Toi
PU/K;Jésus sauveur du monde, écoute et prends pitié
CAR/K;Jésus Seigneur, toi qui es notre paix
PU/PS;Tu écoutes Seigneur quand je crie vers Toi
EN;Maître, montre-nous le Père
GL;Jésus, Jésus
AC;Jésus, mon Dieu, je T'adore
AC;Jésus, Prince de Paix
OF;Jésus, remember me
PS/P/GL;Psaume de la création
OF/COM;Jésus, tu es là
K;Jésus, verbe de Dieu, Kyrie
AL;Jésus-Christ est Seigneur, Alléluia
M;Joie de toutes les joies
GL;Jouez pour le Seigneur
EN/FIN;Contre vents et marées
P/AL;Jour d'allégresse et jour de joie
OF;Jubilate servite
EN/HO;Jubilez, criez de joie
K;Kyrie  20
K;Kyrie 10
K;Kyrie 12, 13, A
EN/CAR/HO;L’Amour a fait les premiers pas
COM;La gloire de Dieu, notre Père
FIN;La valse des créatures
PRO;La java bleue
PRO;La mauvaise réputation
PRO;La mer
EN/FIN/GL;Que vive mon âme à te louer
EN/FIN/GL;Rendons Gloire à notre Dieu
CAR/HO;La parole est tout près de Toi
PEN;Envoie ton Esprit Seigneur
M;La première en chemin, Marie
PRO;La prière
PEN/PU;Esprit de lumière, qui plane sur les eaux
OF;La ténèbre
N;Gloire à notre Dieu un enfant nous est donné
AL;Alléluia
EN/COM/AV;Laisserons nous à notre table
PEN/HO/OF;Le vent
CAR;Laissez-vous réconcilier avec Dieu
PEN/HO/OF;Laissez-vous mener par l'Esprit
AC/FIN/GL;Laudate Dominum Louez le Seigneur, tous les peuples. Alléluia !
EN/FIN;Dieu vit que cela était bon
CAR/OF;Dans le désert
EN/FIN/HO;Le chemin de la vie
P;Le Christ est vivant
EN/FIN;Le Dieu fidèle
EN/FIN;Pour un seul et même Dieu
PS;Le jour où je t'appelle
PRO;Le métèque
BAP/EN/FIN/P;Le monde était dans la nuit
OF/AC;Bénissez le Seigneur
COM;Le pain que tu nous donnes
PS;Le Seigneur est ma lumière
PEN/S;Esprit de Sainteté, viens combler nos cœurs
CAR/PS;Nés de l'eau et de l'Esprit
HO;Le Seigneur passe
AV;Le Seigneur vient
FIN;Le sel de la paix
AL/PEN/FIN/OF;Alléluia Proclamez que Le Seigneur est bon
PRO;Le temps des cerises
AL;Alléluia Zaïrois
N;Les anges dans nos campagnes
PRO;Les comédiens
PRO;Les copains d'abord
OF;Les mains ouvertes devant toi, Seigneur
PRO;Les mistrals gagnants
PRO;Les trois cloches
HO;Les voici rassemblés
PEN;L'Esprit Saint fait de nous des fils
PS;Aujourd'hui ne fermons pas notre coeur
PRO;L'hymne à l'amour
ME;Messe Rivage
COM;Venez approchons-nous de la table du Christ
HO;Litanie du Sacré-Cœur
CAR;Liturgie pour le mercredi des cendres
N/EP;Marche des rois
GL/AL;Louez Dieu
AL;Louez Dieu tous les peuples
GL;Louez la bonté du Seigneur
EN;Louez le Seigneur, louez le créateur
EN;Louez, exaltez le Seigneur
GL;Louez-le
PRO;Ma liberté
ME;Messe de la Trinité
AG;Madison des enfants du Royaume
AV;Magnificat
M;Magnificat, réjouis-toi
OF;Jésus, à toi ma vie
AC;Maintenant Seigneur
PU;Seigneur écoute-nous
P/AL;Alléluia Pascal
PRO;Marie
M;Marie témoin d'une espérance
M;Marie tendresse des pauvres
M;Marie, douce lumière
BAP;Tu es devenu enfant de Dieu
OF;Me voici vers toi
ME;Messe Que tes oeuvres sont belles
COM/CAR;Mendiant du jour
EN;Mendiants d'espérance
ME;Messe Atelier du Fresne
ME;Messe au Dieu de la paix
ME/TO;Messe Chante pour Dieu
ME;Messe de Bizet
ME;Messe de la bienheureuse Vierge Marie
ME/AV/CAR/FET/TO;Messe de la Divine Miséricorde
ME/FET;Messe de la Grâce
ME;Messe de la joie
ME/FET;Messe de la petite Thérèse
ME/TO;Messe de la réconciliation
ME/AV/P/FET/SEM/TO;Messe de la Résurrection
ME;Messe de la Réunion
M;Regarde l'étoile
ME/AV/TO;Messe de la Visitation
ME/CAR/SEM;Messe de l'Abbaye
ME/TO;Messe de l'Alliance
ME;Messe de l'assemblée
ME/N/P/FET/TO;Messe de l'Emmanuel
ME/CAR/TO/SEM;Messe de l'Ermitage
ME/AV/CAR;Messe de l'Espérance
ME;Messe de Lisieux
ME/CAR/TO/SEM;Messe de Rangueil
ME/AV/FET/SEM;Messe de Saint Augustin
ME/AV/CAR/FET/TO;Messe de Saint Claude La Colombière
P/COM;Nous t'avons reconnu Seigneur
ME;Messe de Saint Jean-Baptiste
ME/AV/CAR/SEM;Messe de Saint Thomas
ME/ AV/CAR/TO/SEM;Messe de San Lorenzo
ME;Messe de St André
S;Saint le Seigneur, Dieu de l'univers
PU;Pour les hommes et pour les femmes
ME/N/P/FET/TO;Messe de St Jean
ME/P/FET/TO/SEM/AV;Messe de St Paul
ME/CAR/TO/SEM;Messe de Sylvanès
ME/TO/SEM;Messe de tous les saints
ME/TO;Messe d'Emmaüs
ME;Messe des anges
ME;Messe des Sablonceaux
P/AL/BAP;J'ai vu des fleuves d'eau vive
ME;Messe du Grand Jubilé
ME/CAR;Messe du Kadosh
ME;Messe du Partage
ME/TO/SEM;Messe du Peuple de Dieu
ME/N/P/FET/TO;Messe du sacré Coeur
OF;Vivre d'amour
ME;Messe Fais Jaillir La Vie, Année Bleu
ME;Messe Gouzes
ME;Messe Joie de ma Jeunesse
ME;Messe Lécot/Décha
ME;Messe polyphonique pour un avenir
ME;Messe pour un Dimanche
PU;Apprends-nous, Seigneur
HO;Viens, sois ma lumière !
FIN;Mets ta joie dans le Seigneur
PRO;Mille colombes
N;Minuit Chrétien
EN;Misericordes Sicut Pater
HO;Misericordias Domini
ME/FET/TO;Messe de Saint François-Xavier
OF;Moi, si j'avais commis
DOX;Amen, gloire et louange
N;Mon beau sapin
PS;Mon bonheur c'est la Loi de ta bouche
FIN;Toi Seigneur, Toi le seul Dieu
S;Saint, Le Seigneur
AN;Mon Seigneur et mon Dieu
OF;Montre-nous ton visage
PU;Vois Seigneur ton peuple, il se tourne vers toi
CAR/HO/K;N'aie pas peur
P/CAR/FIN;N'ayons pas peur de vivre au monde
CAR/EN/HO;Ne craignez pas
AC/CAR/OF;Ne crains pas
GL;Je veux le louer
EN/AV;Préparez le chemin du Seigneur
PEN/COM;Notre Dieu s'est fait homme
NP;Notre Père
NP;Notre Père
NP;Notre Père
PRO;Awesome God
NP;Notre Père, Que ton règne vienne
COM/AC;Nourris du même pain
FIN;Nous annonçons le roi
COM;Nous qui mangeons
AN;Nous rappelons ta mort
FIN/AC/TOU;Nous serons bienheureux
M/AV;A Nazareth en Galilée
OF;Regardez l’humilité de Dieu
OF/AC/COM;Nous te rendons grâce pour tant de tendresse
OF;Nous t'offrons le sacrifice
EN;Éclate de joie, fille de Sion
OF;Réjouis-toi, rayonnement de joie
COM/HO;Ô Dieu Seigneur
K/P;Jésus, berger de toute humanité
EN/AC/FIN/AV/PEN;Au cœur de ce monde
N;Ô divin enfançon
PEN/P/OF;Ô Esprit de Feu
AC/OF;Jésus
M;Ô Maria
M;Ô Marie, prends nos prières
GL/N;Gloire à Dieu pour le temps de Noël
OF/AC/COM;Ô prends mon âme
PRO;Ô Seigneur je viens vers Toi
EN/FIN;Ô Seigneur, à Toi la Gloire
A;Ô, Fils de Dieu
PRO;Oh, happy day
PU;Ô Lord hear my prayer
P;Ouvert est le tombeau
CAR/EN/HO;Ouvre mes yeux, Seigneur
P/PEN;Ouvrez tous ces verrous fermés
COM;Pain véritable
PS/AC/AV/M;Magnifique est le Seigneur
EN/FIN;Par la musique et par nos voix
FIN/P;Par toute la terre
CR;Oui Seigneur nous croyons
K;Pardonne-nous Seigneur
EN;Jamais rien n'arrêtera notre louange
ME;Petite Messe
AL;Peuple de Dieu, fidèle est le Seigneur !
CAR/P;Peuple de l'Alliance
FIN;Peuple du Dieu vivant
TOU/PEN/P/EN/FIN;Peuple du Seigneur, Eglise en marche
PS/AC/HO;Peuple d'un Dieu qui est justice
FIN;Peuple en exode
N;Peuple fidèle
AV/N/EN/HO;Peuples qui marchez
PU;Pleins de confiance, nous te prions Seigneur
CAR;Ma passion
OF;Plus près de toi mon Dieu, j'aimerai me reposer
FIN;Portez la louange
EN;Pour avancer ensemble KD20-38
HO/K/AV/P;Pour danser la fête
EN;Pour l’amour de cet homme qu'on appelle Jésus
AC;Pour l'appel à rejoindre ton peuple
GL;Descends sur nous
P/COM;Pour que nos cœurs
K;Pardon
AL;Alléluia 7
AC/EN/FIN;Bénissez son nom
PRO;Prendre un enfant
EN;Chantez, priez, célébrez le Seigneur
FIN/CAR;Prenons la main que Dieu nous tend
EN;Libre et sauvé
GL/AV;Préparez, à travers le désert
K;Prière de François - Que ton règne vienne
EN/FIN;Prophète pour les peuples
AV/OF;Prosternez-vous devant votre Roi
PS;Psaume 18 B
PS/AC;Psaume 22 Le Seigneur est mon berger
PS;Psaume 32 Seigneur ton amour soit sur nous comme notre amour est en Toi
OF;Psaume 33
PS;Psaume 99 Tu nous guideras aux sentiers de vie
PEN/OF;Viens Esprit Saint - Veni Sancte Spiritus
AC/HO;Puisque Dieu nous a aimés
P;Quand il disait à ses amis
PRO;Quand on a que l'amour 
PEN;Quand souffle l’Esprit
EN/FIN;Que chante pour toi
PS;Que le Seigneur nous bénisse tous les jours de notre vie
PS/AC/BAP;Que le Seigneur te bénisse
FIN/GL;Que ma bouche chante ta louange
FIN;Que mon coeur serve à te louer
PEN;Que mon Esprit soit sur vous
COM/EN/GL/AC;Que soit béni le nom de Dieu
EN;Que tes œuvres sont belles
EN;Que vienne ton règne
AG/P;Agneau de Dieu, sauveur du monde
FIN;Quel jour de joie !
EN;Qu'exulte la terre, que chante sans fin le peuple de Dieu
COM;Le pain dans nos mains
EN;Vous recevrez une Force
EN;Rassemblés au nom du Père
COM;Recevez le Christ
COM;Recevez le Corps de Christ, buvez à la source immortelle
EN;Bondissez
EN;Christ Seul
EN/AV/GL;Réjouis-toi car il vient
EN;Aujourd'hui s'est levée la lumière
PS;Le gardien d'Israël
M;Réjouis-toi, Marie, toute aimée de Dieu
EN;Là il y avait un jardin
EN;Le Chant du Père
COM;Allumeurs d'étoiles
FIN;Reste avec nous sur les chemins
FIN;Rêve d'un monde
CAR/EN;Revenez à moi de tout votre coeur
AL;Sa Parole est Lumière
BAP/PU;Litanie des Saints
S;Saint Le Seigneur
AC/K;Dieu de tendresse, Dieu de miséricorde
K;Seigneur, j'accueille ton pardon
S;Saint le Seigneur, le Dieu de l'Univers
EN/AV;Dieu est en attente
M;Tu as porté celui qui porte tout
S;Saint, Saint, Saint
M;Sainte Vierge, ma Mère
EN;Plus jamais le même
S;Sanctus
GL/S/HO/AC;Seigneur du ciel et de la terre
EN;Relever le faible
EN;Tout sera grand
EN;Seigneur Jésus, tu es présent
OF/COM;Seigneur mon secours
EN;Seigneur tu es ma force
AN;Seigneur tu es venu pour nous sauver
PU;Seigneur, accueille notre prière 
PU;Seigneur, entends la prière
OF/AC;Donne-moi seulement de t'aimer
S;Saint le Seigneur de l'univers
EN;Une Symphonie
N/PS;Aujourd'hui un sauveur nous est né
K;Seigneur, prends pitié
BAP/FET/P/EN/HO;Seigneur, tu cherches tes enfants
